__label__Position	We should have personal documents (ID, Birth certificate, etc.) recognized in all EU countries
__label__Position	E-voting brings more harm than good
__label__Position	The EU itself and its people should understand and accept there are a lot of Europeans outside the EU
__label__Attack	It's the same with citizens of the USA using Americans to describe themselves. Yes, technically it isn't correct, but who cares...
__label__Support	The only thing Europeans don’t do together is politics. This is because national parties - not EU parties - run the show within and across Europe. After 70 years of integration, the EU lacks a European party system capable of fostering a genuine transnational space of political debate and dialogue where citizens can understand, influence, and participate in decision-making affecting their common interests as Europeans. This must change.
__label__Support	The political composition of the European Council - and therefore the EU’s political center of gravity - continuously changes during the EU political cycle, thus preventing clearer government majorities to emerge within these two European Councils.
__label__Support	National elections synchronization would finally make it possible to strengthen the effectiveness of the Council of the EU, by eliminating the blockages caused by the constant renewal of Ministers, which considerably slows down decision-making.
__label__Support	Synchronizing national elections would allow European citizens to engage in major pan-European campaigns.
__label__Position	There should be more unity and cooperation in Europe.
__label__Support	Unity needs time. Poland and Hungary etc. need to enjoy their freedom for now. They will eventually see that working together with civilized countries is more attractive in the end.
__label__Position	India should have 'One Nation - One Election' policy
__label__Support	Less disruption to public life, less road traffic, and less loss to our economy. As all the government staff can be used at a single time, we can also increase vigilance, and factors like black money, booth capturing, etc. can be reduced.
__label__Attack	Holding both elections together will also mean mixing up the national issues with those of the state. The national issues would overpower the state which in turn would get less priority from the politicians.
__label__Attack	When state elections are conducted along with the center the regional parties may get marginalized because the same party getting majority in the center may get votes in the state as well.
__label__Attack	Frequent elections in the country will bring politicians back to the public frequently whereas cutting down on elections would mean making them lazy for the rest of the term and suddenly becoming overactive during the election year.
__label__Position	Cohesion funds should be provided directly to cities and regions
__label__Support	The cohesion funds have become a mechanism for local oligarchs and political elites to maintain their power and influence within national contexts, thus resulting in utilizing EU funds for their own personal or political gains and withholding the benefits from the people in cities and regions.
__label__Support	An increased percentage of funds dedicated to cities and regions that are controlled and distributed from the EU institutions directly to the local administrations can bypass the national systems which enable the political dependency in the first place.
__label__Position	We should sop unrestricted deforestation and logging
__label__Position	We should put the accent on traditional values and on preserving family life
__label__Support	it is essential that environmental concerns and sustainability are the foundation of any treaty with our European Union!
__label__Attack	The emphasis on negative stereotypes towards migrants comes mostly from people who don't know Africans or other migrants or refugees.
__label__Attack	Migrants have an enormous amount to offer in energy, new ideas, and cultures. Why this emphasis on imaginary 'takeovers'?
__label__Attack	The emphasis on negative stereotypes towards migrants comes mostly from people who don't know Africans or other migrants or refugees.
__label__Attack	Migrants have an enormous amount to offer in energy, new ideas, and cultures. Why this emphasis on imaginary 'takeovers'?
__label__Position	We should invest in nuclear energy
__label__Support	The EU must ensure that all products entering the EU are grown, manufactured, and grown to certain standards. This should ensure that people in the south have a dignified life. To achieve this goal might be helpful to have European Law state that all imports should have certain labels such as Fair Trade, etc.
__label__Position	EU needs an action plan against digital addiction
__label__Attack	Technology brings people together when they are distant, accelerates bureaucratic procedures, it allows us to work from home or from any country in the EU or outside. It allows for an immense flow of information to be easily accessible to us. As long as people do not want to do illegal online activities, it is each person’s individual decision what to do with their own online time or how much time they might want to be online.
__label__Attack	Forty years of UK membership in the European Union have clearly proven that it is not a good idea to conclude agreements with England.
__label__Support	Both, a reform of EU trade and investment policy and a relaunch of global multilateralism are overdue.
__label__Position	We need family and child protection against political agendas until their adulthood
__label__Support	In fact, political NGOs advocating for any cause whatsoever should be banned from schools and kindergartens.
__label__Support	As Europe bears the burden of the XXth century authoritarian regimes (right and left) and saw their children ideologically possessed by fascist and communist governmental propaganda (Hitlerjugend (right) and Pioneer (left) movements), we need to limit the access of the children - as one of the most vulnerable groups of our community - to every political ideology and propagating associations.
__label__Attack	This bill gave exclusive powers to the ‘National Investigation Agency’ (NIA). NIA can take any person into their custody under UAPA without taking prior permission from the state government. This is against the federalism, which is guaranteed by the constitution of India.
__label__Attack	Labelling organisations as terror organisations and labelling individuals as terrorists are quite different. If a person is named as a terrorist, he/she will face social exclusion and will be devoid of livelihood opportunities even if he/she proved otherwise. The consequences will be irreversible. For example, in 2016 alone 67% of the cases ended in acquittal, which means they are probably innocent.
__label__Attack	If someone is booked under UAPA, the burden of proving their innocence is on them. This new amendment is enabling the government to seize their properties. Then how will they pay for legal expenses to prove their innocence, if they are falsely accused?
__label__Attack	This will provide more police powers to the central government. The provision of naming individuals as terrorists can be misused. For example, recently several civil activists are termed as Urban Naxals. If anyone opposes the government, they will be vulnerable to be framed as terrorists. Because this amendment made it easier to label anyone as a terrorist.
__label__Support	There is a growing threat of lone-wolf terrorism. Lone wolf terrorists do not have any association with terrorist organizations, but they commit terror attacks alone by themselves. This new amendment to UAPA has the potential to curb lone-wolf terrorism.
__label__Support	To prevent the violation of human rights, four-stage scrutiny is added. Designating individuals as terrorists is not started by India. The US, European Union, and China also have this provision.
__label__Support	Till now, only organizations were designated as terrorist organizations, but not individuals. The loophole in this is the individuals of the banned organizations are forming new organizations and carrying out terror activities. This amendment bill for the Unlawful Activities (Prevention) Act allows the government to designate individuals as terrorists, thereby terror attacks can be prevented.
__label__Support	There is a need to act tough on terrorism amid growing threats from terrorists. So, strengthening UAPA is necessary.
__label__Position	We should make pushbacks legal
__label__Position	We should allocate 3% of GDP for research and innovation by 2035
__label__Support	Refugees are forcibly displaced. They flee their country for several reasons such as violence, human rights violations, war, persecution of minorities, etc. Often they face threats to life in their home countries. They leave their homes and everything else in search of a safer place to live.
__label__Support	At present, many countries are refusing refugees stating that they pose an economic or security threat. Only a few countries including Lebanon, Jordan, Turkey, and Liberia are accepting most of the refugees. Some host countries are forcibly sending refugees back to their home countries stating that such as the situation in their home countries is safe. Many refugees who were sent like this went through brutal violence and some people even disappeared.
__label__Support	All countries should share the responsibility for refugees. Resettlement of the refugees should be done without much delay. They should be provided with skill development courses and employment opportunities to help them in living a dignified life.
__label__Support	A weak global response is worsening the situation of refugees. The international community should help in rebuilding the war-torn countries, where refugees are coming from, so that safe and dignified returns are possible for refugees. Refugees should not be forcibly sent to their home countries.
__label__Support	Many developed countries are spending so much money to protect their borders, but are not spending any money for protecting the lives of refugees. More funding is required to protect refugees.
__label__Position	We need to move towards drug reform, which will change our outdated drug policy.
__label__Support	This is especially true when we know how much alcohol is damaging the brain, in particular in the developing brain of teenagers. Also unlike cannabis, over-consumption of alcohol leads to death so I would say that this product is much more dangerous. Yet unlike cannabis, alcohol is legal.
__label__Support	In France, political repression fueled by rightwing ideology and ignorance led cities like Marseille to develop rampant crime that fed on the lucrative market of cannabis. Worst, this criminality is intertwined with radical Islam. In poor neighborhoods, the youth will choose the easy money and start dealing.
__label__Support	Tax revenues generated by cannabis could be redirected towards education in poor neighborhoods (increasing teachers' pay in these areas, reducing the number of teachers per class) in order to give these populations a better future. But unlike in the Netherlands, production should also be legal and highly regulated by the state.
__label__Support	Today, cannabis repression is simply a political posture aimed to target rightwing voters, not a rational policy.
__label__Support	Whenever you find yourself in crisis, and the EU is in crisis, it is a good idea to return to core business. And in the case of the EU, the core business is economy, trade, and security. That's where the focus should be.
__label__Support	The more dynamic the economy, the stronger the innovation and worldwide influence the EU will have, including soft power.
__label__Support	The Covid-19 pandemic showed us that the European Union is not able to come up with technological innovations that could strengthen our economic position.
__label__Position	We need to change the immigration policy to prevent illegal crossing
__label__Attack	Mass immigration is the biggest existential threat to the EU. The UNCHR has already 70 million registered refugees, mainly from Africa and the ME. In Africa 400 million like to come to the EU. Almost all people are without a useful education. There is no other solution than an, almost, total stop to immigration.
__label__Attack	Olympic Games should not be banned. They are the tissue that solidify the friendship between nations in the world and a reminder of a peaceful world which should be the world vision
__label__Support	the olympic games cause turmoil and a lot of money.
__label__Support	we should abolish the olympic games because bring together different nations with radically different governments is dangerous.
__label__Support	the olympic games encourage animosity between countries
__label__Attack	The Olympic games provides jobs and is a boost for the economy in the host country.
__label__Attack	The Olympic Games allow for countries around the world to compete in friendly competition and is a healthy outlet for national pride.
__label__Support	without being able to completely erradicate drug taking the olympic games is not an accurate representation of the skill of the sportsmen, making it an outdated and irrelevant competition.
__label__Attack	the olympics have long been the goal for athletes to aim for to be the very best so abolishing the games would take away their dreams and ambitions.
__label__Support	the olympic games are usually a drain on the economy of the host city
__label__Attack	the olympic games offer a friendly competition meeting where the best athletes around the world can come together to celebrate the best of human physical achievement.
__label__Attack	the olympic games are a testament to the spirit of amateur athleticism.
__label__Support	the olympic games are too expensive to be held
__label__Attack	the olympic games allow for true amateur athletes to live out their dreams.
__label__Support	it costs too much to build for the games and never use those buildings again
__label__Attack	olympic games gives the world a chance to see the talent of many athletes from around the world
__label__Support	the olympic games only benefit the rich as they are the only people who can afford to compete or attend the games.
__label__Support	we should abolish the olympic games because they have not done what they were meant to do which is create peace. they have created more problems especially to those hosting them and are just beyond their time.
__label__Attack	athletes train their whole lives in hopes that they can represent their country to be the best.
__label__Attack	the olympic games brings together the world in a peaceful environment
__label__Attack	promotes peace and sportsmanship amongst countries
__label__Support	they are boring and cost too much money
__label__Attack	they increase tourist activities and are a boost to the local economy.
__label__Support	we should abolish the olympic games because it very expensive to host
__label__Attack	the olympic games are essential to allow peaceful competition between nations, without these there would be more wars and battles as countries tried to prove they were better than others.
__label__Attack	the olympic games allow for a show of strength among a country's athletes in a sportsman like manner, allowing for global participation and unification.
__label__Attack	we should not abolish the olympic games because it brings the world together to celebrate sporting greatness.
__label__Attack	the tradition of the olympic games is brilliant for pulling together all countries of the world that it should never be abolished.
__label__Attack	We should not abolish the Olympic Games as they are viewed as the pinnacle of success for many athletes around the world.
__label__Attack	the olympic games are necessary to promote healthy competition in the world and show the cultures of many countries.
__label__Attack	the olympic games inspire children and people of all ages to enjoy and participate in sports.
__label__Support	we should abolish the olympic games because there have too many scandals involving cheating and doping on illegal steroids and substances.
__label__Support	the olympics are an expensive operation and the city selection process is corrupt.
__label__Attack	we shouldn't get rid of the olympics because it unites countries and gives everyone something in common.
__label__Support	we should abolish the olympic games because the pressure placed on athletes can cause mental health issues
__label__Support	the olympic games should be abolished as they have become a massive corporate sponsorship opportunity that is subject to bribery, cheating and politics
__label__Support	there is too much scandal and controversy that comes out every time the olympics come around.
__label__Support	the olympic games cost vast sums of money to the host country that would be better spent on essential services such as healthcare and education
__label__Attack	the olympic games provide addition income to small businesses.
__label__Attack	the olympic games are the one event that can bring all countries together in unity and should never be abolished.
__label__Support	they are a waste of money, building hype for a short event. money will be better spent elsewhere
__label__Support	Sport does nothing for the survival of the human race and yet masses of resources are still ploughed into it for events like the Olympic Games while issues like poverty are swept under the carpet.
__label__Attack	olympic games is useful to countries as it provides a boost to the countries economy by the increased tourism during the time of the tournament.
__label__Support	The Olympic games exploit people from abuse of the competitors to sex trafficking among the fans.
__label__Attack	the olympic games create a tourism boom for the host city which injects a lot of cash which can be used to better locals so it shouldn't be abolished.
__label__Support	the olympic games pits countries against each other and can increase levels of discrimination when athletes compete, so therefore it should be banned.
__label__Attack	the olympic games bring vast economic benefit to local communities, both through regeneration projects and the influx of vistors spending their cash.
__label__Attack	the olympics bring people together and form fun rivalries between countries, all vying for a top spot among the world's athletes
__label__Attack	we need the olympic games to bring the nations together in a non confrontational contest.
__label__Support	the olympic games promotes racism and social exclusion in favor of a good 'public image' for the host
__label__Support	we should abolish the olympic games since it puts a huge financial strain on the hosting country. much money is spent on infrastructure that can be abandoned after the games are over.
__label__Attack	the olympic games should not be abolished as they bring the world together to see outstanding sport and encouges young people to take up sport andd strive for success
__label__Support	the olympic games is now redundant as a sporting competition because there are so many professional competitions for sports.
__label__Attack	the olympic games provide employment of many people and are entertaining
__label__Support	the olympic games have become prohibitively expensive to host. it is not worth spending billions for an event that is two weeks long.
__label__Attack	the olympics are a positive athletic contest which builds pride in a country and promotes cooperation among all participating countries. they are a goodwill ambassador for the world and should remain.
__label__Attack	olympic games is one way to show unity
__label__Support	the games serve no positive purpose. there are world games and high level competitions in most sports which make the olympics obsolete. they are also a financial albatross to the country that holds them.
__label__Attack	we should not abolish the olympic games because it is a form of entertainment for many people
__label__Support	the olympic games are a hugely expensive enterprise to host, and history is littered with countries left financially broken in the aftermath.
__label__Attack	the olympic games are an important celebration of athleticism that the whole world can participate in.
__label__Support	they are expensive to whoever hosts them
__label__Support	the olympic games should be abolished because they are a financial drain on host cities
__label__Attack	the olympic games are a way for nations to compete in a friendly way and to encourage people of all ages to take up sport.
__label__Attack	this is the only wide scale event where all countries can put aside all differences in good faith and fair competition
__label__Support	the funding required to train athletes and host the games is a huge waste of public resources. this could be better spent on life saving and life changing services
__label__Support	We should abolish the Olympic Games because they have become very open to abuse in terms of drug use and oppressive government regimes.
__label__Attack	the olympic games give athletes from all over the world a chance to compete and showcase their talents.
__label__Attack	the olympics is an important international competition that represents peaceful cooperation and brings together the world in friendly competitive sports when the most capable are rewarded for their efforts.
__label__Support	olympic games cost a lot of money for the host city to organise and the money could be spent better elsewhere
__label__Support	we should abolish the olympic games because the money they spend could be used for better things like medical research
__label__Support	the olympic games are no longer relevant. they focus on the athletic and competitive nature of humanity. we must instead focus on the intellectual and collaborative aspects to solve humanity's problems.
__label__Attack	we shouldn't abolish the olympic games because is important for union of countries of world
__label__Support	we should abolish the olympic games because it is inhumane to have people compete for profit or gain.
__label__Attack	the olympic games encourage sports all around the world
__label__Attack	the olympic games bring peace and comeraderie and friendly competition to the entire universe
__label__Support	the olympic games has become less about the sports and more about commercialism
__label__Support	olympic games often make unnecessary expenses that could be used for other causes
__label__Support	the olympic games are a huge waste of money to the host countries. they spend large amounts of money to build places that are never used again.
__label__Attack	the olympics provide a way for nations to come together to foster mutual understanding.
__label__Attack	it makes income for the local communities
__label__Attack	we should not abolish the olympic games because it would rob all the hard working athletes of showcasing their skills and earning money from the games and their sponsors.
__label__Support	The Olympic Games have become nothing more than political contests that spur controversy between countries.
__label__Support	the olympic games put too much of a financial strain on host cities so they should be done away with
__label__Support	the olympic games are a big business where the only winners are the big capitalists
__label__Support	The Olympic Games have become too controversial lately with politics, doping and other issues and should be banned.
__label__Support	the olympic games are a waste of money and time and should be abolished
__label__Support	the olympic games are no longer a fair contest because many athletes use performance enhancing drugs
__label__Support	they are a distraction from everyday life
__label__Support	the olympics are unfairly biased in favor of those from industrialized nations who have the time and money to train full time
__label__Attack	the olympic games bring tourism to the place hosting it and that can be very beneficial.
__label__Attack	the olympic games provide the opportunity for people from all countries to meet each other and learn about people from other places.
__label__Attack	the olympic games inspires people around the world to take up sport and live healthier lives.
__label__Support	they cost too much money and we waste too many resources on the olympics.
__label__Attack	the games are a good way to bring nations together in a sense of fun and friendly competition.
__label__Support	there is too much controversy surrouding the olympics such as doping, causing conflict among countries and thus, should be banned
__label__Position	We should adopt an extension of the application of qualified majority voting arrangements
__label__Position	We should increase the EU budget by including more direct contributions
__label__Attack	Vetos are occurring only rarely in the current EU voting procedure, which is focused on unanimity.
__label__Attack	If a veto is happening in the current EU voting procedure it is justified.
__label__Attack	Each country should keep its power, which is ensured through the current unanimous voting process in the European Union.
__label__Position	We need stricter and homogeneous environmental legislation across the EU
__label__Support	We should restrict delocalizing factories to third countries where environmental legislation is softer. We need unique legislation to avoid this.
__label__Support	As the sustainability goals of the UN contain working conditions, human rights, environmental & climate issues together with questions of governance, they are ideal to incentivize sustainability in all sectors and fend off unsustainable practices and competition.
__label__Support	We need to revisit the idea of a defense union that is independent of NATO. National armies of EU states should be able to cooperate. This includes the same equipment, the same training and the same battle language.
__label__Attack	Migration has totally gotten out of control. The EU refuses to see the magnitude of it. Hundreds of millions like to migrate. All people without the right language and fitting education. The massive numbers of immigrants threaten the existence of EU societies, through crime, poverty, and housing shortage.
__label__Attack	Refugees can obtain a visa at an Embassy in one of the 54 African countries. All other immigrants must be returned within a week of arrival.
__label__Attack	Migration has totally gotten out of control. The EU refuses to see the magnitude of it. Hundreds of millions like to migrate. All people without the right language and fitting education. The massive numbers of immigrants threaten the existence of EU societies, through crime, poverty, and housing shortage.
__label__Attack	Refugees can obtain a visa at an Embassy in one of the 54 African countries. All other immigrants must be returned within a week of arrival.
__label__Position	We should ban cosmetic surgery
__label__Support	cosmetic surgery is unnecessary and dangerous.
__label__Support	cosmetic surgery exists for vanity purposes doctors who offer the service should focus on treating people with real illnesses
__label__Attack	Cosmetic surgery is important to repair damaged skin or member of people involved in an accident. This will help them regain confidence and live their life fully
__label__Support	cosmetic surgery has too many risks of something going wrong compared to the benefit of looking more aesthetically pleasing.
__label__Attack	we should not ban cosmetic surgery because there are some people that are seriously need it done to improve their lifestyles
__label__Support	cosmetic surgery is dangerous and should be banned.
__label__Support	plastic surgery can cause many complications and infections and does not address the underlying self esteem issues of the patient
__label__Attack	we should not ban cosmetic surgery because it could help a disfigured person regain confidence.
__label__Support	cosmetic surgery makes people feel self-conscious about themselves, providing false imagery of natural beauty
__label__Attack	cosmetic surgery teaches our daughters that they need to look perfect and never age.
__label__Support	the long term effects of new procedures have not been studied enough to know if they are safe.
__label__Support	cosmetic surgery can sometimes cause harm and disasterous results.
__label__Support	cosmetic surgery only serves to perpetuate eurocentric standards of beauty and makes it more difficult to challenge them.
__label__Support	cosmetic surgery creates a great desire for physical improvement that leads to an endless loop of body adjustments which has a detrimental effect on the individual.
__label__Attack	everyone has the right to alter their bodies or appearances in which ever way makes them feel comfortable and at ease.
__label__Support	banning cosmetic surgery would take the pressure off people to look a certain way that media and society dictates.
__label__Attack	people have the right to enhance their body in any way they want to.
__label__Attack	cosmetic surgery boosts people's self esteem.
__label__Attack	we should not ban cosmetic surgery people some people don't like how they look and it's their money if they want to change that
__label__Support	cosmetic surgery isn't medically necessary
__label__Attack	if people believe that they will be happier after cosmetic surgery, they should not be prevented from seeking that happiness
__label__Support	cosmetic surgery should be banned. god made you a certain way and these procedures are going against that. besides, it could be dangerous as joan rivers died from complications during surgery.
__label__Attack	cosmetic surgery helps many people with their self esteem.
__label__Attack	if people want to get work done it is their choice
__label__Attack	people have the right to fix their perceived flaws and raise their self esteem.
__label__Support	we should ban cosmetic surgery especially for vanity reasons because it makes people look stupid
__label__Attack	cosmetic surgery is a personal option in a safe environment with minimal risk
__label__Attack	cosmetic surgery makes people feel better about themselves.
__label__Support	so many people are getting elective surgery and having complications later.
__label__Attack	we should not ban because it helps people feel good about themselves and improve their confidence.
__label__Attack	everyone has opinions about themselves and should be in control of how they treat their bodies
__label__Support	we are propagating unnatural and unattainable beauty norms by fueling an industry that operates on those that can afford it, to look as close to perfect as possible
__label__Support	cosmetic surgery can cause more harm then good and if not done properly can damage a person for the rest of their lives. it can also take up surgical rooms that are needed for emergency surgeries.
__label__Attack	As long as they use an accredited plastic surgeon, people should be able to do whatever they want with their bodies.
__label__Support	cosmetic surgery is ruining the confidence of young girls and making them feel like their not good enough without such surgeries.
__label__Support	some cosmetic surgery can cause infections and produce results that can disfigure a person forever.
__label__Support	plastic surgery carries risk and when it goes wrong, the nhs have to pay to repair the damage if the patient is suffering or at risk of serious illness.
__label__Attack	cosmetic surgery helps people feel better about their appearance, which can help them create positive changes in other areas of their life.
__label__Support	cosmetic surgery causes unnecessary risks to the patient for a purely narcissistic procedure.
__label__Attack	if someone has money to burn and choose to use it to improve their physical appearance, that is up to them an no one should be able to tell them they can't do it.
__label__Attack	everyone should have a right to be happy.
__label__Attack	cosmetic surgery is a personal choice that people should be allowed
__label__Attack	people should be free to choose for themselves
__label__Support	it can do more harm than good. it has ruined people's looks for life and thus ruined people's lives.
__label__Support	cosmetic surgery is pointless and takes doctors away from other important fields such as family care
__label__Attack	cosmetic surgery helps to reconstruct physical aspects such as a person who has had a mastectomy and wants surgery to restore their breats.
__label__Attack	people should have the right to choose what they want to do to their body.
__label__Support	cosmetic surgery is a frivolous waste of resources and should be banned. it takes medical time away from those in need. cosmetic surgery promotes vanity and self absorption.
__label__Support	cosmetic surgery is dangerous to start with, why should people make such risky moves for vanitys sake?
__label__Support	cosmetic surgery is unnecessary and does not provide health benefits
__label__Attack	we should not ban cosmetic surgery because some people need it done to improve their health and lifestyle
__label__Attack	facial surgery is a common reconstruction for people who get involved in car accidents. cosmetic surgeries is the only solution for them to recover their face they destroyed in the accident
__label__Support	a lot of times the physical and emotional after effects of cosmetic surgery defeat the main purpose of getting the surgery.
__label__Support	cosmetic surgery is not needed, and vain.
__label__Support	we should ban cosmetic surgery because the patients might get cancer when it is done over and over again
__label__Support	there are so many bogus cosmetic surgery out there that it needs to be banned before we have a bunch of freaks walking the earth.
__label__Attack	cosmetic surgery can help people with self esteem issues
__label__Attack	everyone has a right to make this choice
__label__Support	cosmetic surgery is risky in that it can cause adverse affects.
__label__Attack	surgeries are important for people who were in accidents or have birth defects and surgery can help transition them to a normal life.
__label__Attack	we should continue to support cosmetic surgery as it helps people correct imperfections that cause poor self-esteem.
__label__Attack	We should not ban cosmetic surgery as people should be allowed to do what they want with their bodies.
__label__Support	cosmetic surgery, other than for disfigurments, should be banned. society puts too much pressure on people to look perfect. people should embrace individuality.
__label__Support	the risks of cosmetic surgery are not worth the small gains that result from it
__label__Attack	the government should not outlaw safe procedures that can be done to the body.
__label__Support	cosmetic surgery is putting people's lives at risk, so we should really ban it
__label__Attack	we should not because people who are born with disfigurements have a chance to be normal.
__label__Attack	cosmetic surgery is vital for people like burn victims to heal and feel more normal.
__label__Attack	cosmetic surgery as helped a lot of accident victims regain there injured and lost body parsty
__label__Attack	cosmetic surgery shouldn't be banned because there are plenty of cases and times when someone is in a accident and they actually need it to fix their appearance.
__label__Attack	for some people who suffer from poor self esteem, cosmetic surgery can offer hope.
__label__Support	we should ban cosmetic surgery was dangeous inothe paid bad
__label__Support	we should ban it because it gives people a unrealistic view on how a natural body or face should look.
__label__Support	cosmetic surgery is taking unnecessary risks.
__label__Support	we should ban cosmetic surgery because doctors should spend their time helping people that need it not the people that want it
__label__Attack	a ban would only increase the already concerning trend to go to dangerous surgeons abroad
__label__Support	cosmetic surgery can cause medical problems in the long run
__label__Support	there is no reason to have cosmetic surgery except for vainity and it carries risks so it should be banned
__label__Attack	cosmetic surgery increases women's self-esteem and makes them more self-confident
__label__Attack	cosmetic surgery is a form of self expression and it is unfair to prevent a consenting individual from partaking.
__label__Attack	a lack of confidence due to appearance can have a crippling impact on poeple's lives and cosmetic surgery can help reduce this.
__label__Attack	cosmetic surgery gives you the assurance you were lacking physically
__label__Support	cosmetic surgery has been known to lead to deaths due to botched jobs. it should be banned so these deaths do not occur.
__label__Support	cosmetic surgery creates an unhealthy body image in media for children to try and conform to.
__label__Attack	cosmetic surgery is a decision that a doctor and a patient makes, and we should not infringe on their choice.
__label__Attack	cosmetic surgery is a fundamental right of a person to be able to do what they want to their own body and the governmental should not be able to interfere with that right.
__label__Support	banning cosmetic surgery and obligatory because is harming our health and is not supportive from main western doctors. cosmetic surgery is all about money and nothing else.
__label__Support	some people who overindulge with plastic surgery may have a mental illness and are on a pathway to self destructive behavior where they are never happy with their new changes
__label__Attack	people have a right to bodily autonomy and should make their own decisions about their bodies
__label__Support	cosmetic surgery can involve complex, dangerous medical procedures which shouldn't be carried out for non-medical reasons.
__label__Attack	banning cosmetic surgery is like banning freedom of speech.
__label__Support	cosmetic surgery encourages people to change things that don't need changing.
__label__Support	It is not worth the risk of cosmetic surgery just for people to look better.
__label__Support	cosmetic surgery is dangerous, too costly and causes a lot of damages to the body and the spirit of the undergoer
__label__Attack	cosmetic surgery is a choice between a doctor and a patient, and laws should not be made that infringe on those choices.
__label__Support	cosmetic surgery is a way of masking what may be deeper rooted psychological problems
__label__Attack	some severe birth defect can be fixed by cosmetic surgery and these people have a right to live their life without the stigma of their disformity tormenting them for their entire life.
__label__Attack	having a mastectomy is devastating to many women and having the chance to look normal again is needed in society
__label__Attack	cosmetic surgery is important for health issues such as people who have been born with a cleft palate.
__label__Attack	Horrible idea. Next, you will limit water or air?! This is not the way to move on climate change. You can do much more via mass politics and not focus on individuals or limit their freedoms. If you want to stop eating meat, do so, I won't.
__label__Attack	I believe that the problem is not WHAT we eat but rather HOW food is produced. When we talk about meat, we should make a distinction between industrial production (which is damaging our environment) and family-run businesses once (which is not). Instead of prohibiting food (something that is practically speaking impossible to do) we should rather enhance local food solutions and increase people's awareness regarding the impact of their buying choices. Our goal should be making local products and green goods available to everyone and not a privilege of people who are wealthy enough to be able to afford them.
__label__Attack	No, this is a horrible idea to force people to go vegan. While I agree that we, as a society, are eating too much meat, which is bad for both the environment and our health, this will only create tension and anger towards the EU.
__label__Attack	I have no illusions that rich and influential people will find a way to get as much meat as they want and then distribute it on the black market.
__label__Attack	The government does not have any right to use the taxpayer's money to propagandize the people to encourage what to eat and not to eat. It is not the responsibility of the government.
__label__Attack	I think forcing people to eat a limited amount of meat is totally the wrong way because of the following reasons: 1. It would cause so much more bureaucracy 2. forbidding it would understandably make a lot of people very mad. I mean who likes to be told what to eat? 3. I think it's important to have the freedom to eat what you want I think a much better solution would be to increase the tax on meat. Making it less attractive for people.
__label__Position	We need a better EU migration policy.
__label__Support	It is absurd that such an EU policy about migration is lacking.
__label__Support	The EU is driving in the dark with the lights switch off.
__label__Support	t is absurd that such an EU policy about migration is lacking.
__label__Support	The EU is driving in the dark with the lights switch off.
__label__Position	Food whose production has been subsidized with EU funds should not be allowed to be exported to developing countries.
__label__Support	The subsidies were originally intended to ensure the security of supply for the European population. But when you export subsidized food, it's at the expense of European taxpayers. Export yes, but then no more subsidies for these products.
__label__Support	These products come mainly from large enterprises, which do not necessarily focus on environmental protection.
__label__Support	Subsidies often make farmers in recipient countries uncompetitive, hampering local production and increasing migratory pressure.
__label__Support	This will add to the transparency and fair competition. Insincere employers shouldn't have an advantage, and in essence, it would be beneficial for all EU members, not just the workers.
__label__Support	Protection of the rights of those who actually produce the services and products that constitutes the European market is nothing but self-evident. With a more and more integrated EU, ignoring those rights will create fragmentation and conflicts.
__label__Attack	There is no guarantee that illegal gambling activities will stop.
__label__Attack	Gambling addiction can lead to increase in crime rates, mental illnesses.
__label__Position	We need see nuclear energy as green energy
__label__Attack	Nuclear energy is not green because of radioactive waste.
__label__Position	There should be a stronger EU on the world scene
__label__Support	Too many times so-called leaders around the world like Trump and Boris Johnson have made a mockery of Europe and Europeans with zero response from EU leaders. These things affect people's pride and give out a sense of weakness.
__label__Support	We have already done great damage to EU credibility by pointless posturing.
__label__Support	EU should show more strength when dealing with foreign powers. In addition, there should be a vision about where we want to go in the long term with the EU, and this is in an increasingly complex (and sometimes hostile) world.
__label__Position	COVID-19 vaccination should be made mandatory
__label__Position	We should have legal and accessible migration routes instead of mass deaths in the Mediterranean.
__label__Support	There need to be some rules for integration:Integration does not mean giving up European values and culture.
__label__Support	There need to be some rules for integration:Integration does not mean completely open borders.
__label__Support	There need to be some rules for integration: Integration does not mean giving up European values and culture.
__label__Support	There need to be some rules for integration: Integration does not mean completely open borders.
__label__Position	We should have a CO2 Carbon Equivalent Indicator for every product in the market
__label__Attack	Reality shows give opportunity for children to bring out their hidden talents and to finess their skills.
__label__Attack	Reality shows act like a launchpad for children into the film industry. Some of the present singers, choreographers are made into the movies through reality shows for children.
__label__Support	Almost all reality shows involves the process of eliminating participants one by one at each level. Facing defeat infront of everyone is not that easy for children. This may put an emotional toll on children.
__label__Position	We should implement a chipped medical card as a medical ID shared across the EU
__label__Position	The EU must be confederal and not federal
__label__Attack	We need a real and effective European democracy, therefore, a European Federation.
__label__Position	We should stop Brussels from imposing ideologies, concrete policies to develop in exchange for financial aid, interference in agricultural production or legislating in judicial matters
